name,rating,reviews,ownership,degree
"Trinity College of Engineering and Research, Pune",4.1/5,49 Reviews,Private,B.E /B.Tech (9 Courses) Fees :  ₹3.64 Lakhs
"SSGMCE Shegaon - Shri Sant Gajanan Maharaj College of Engineering, Shegaon",4.1/5,109 Reviews,Private,B.E /B.Tech (5 Courses) Fees :  ₹4.49 Lakhs
"SKN Sinhgad Institute of Technology and Science, Lonavala",4.1/5,14 Reviews,Private,B.E /B.Tech (3 Courses) Fees :  ₹3.14 Lakhs  - ₹4.81 Lakhs
"Sanjivani College of Engineering, Kopargaon",4.1/5,146 Reviews,Private,B.E /B.Tech (8 Courses) Fees :  ₹6.04 Lakhs
"GCE Karad - Government College of Engineering, Karad",4.6/5,34 Reviews,Public/Government,B.E /B.Tech (5 Courses) Fees :  ₹83.27 K
"RCPIT Shirpur - RC Patel Institute of Technology, Shirpur",4.6/5,8 Reviews,Private,B.E /B.Tech (7 Courses) Fees :  ₹5.06 Lakhs
"RH Sapat College of Engineering, Management Studies and Research, Nashik",4.2/5,6 Reviews,Private,B.E /B.Tech (5 Courses) Fees :  ₹2.80 Lakhs
"KK Wagh Institute of Engineering Education and Research, Nashik",4.2/5,82 Reviews,Private,B.E /B.Tech (10 Courses) Fees :  ₹5.68 Lakhs
"ISB and M School of Technology, Pune",4.4/5,1 Reviews,Private,B.E /B.Tech (6 Courses) Fees :  ₹3.11 Lakhs  - ₹3.32 Lakhs
"Bharati Vidyapeeth's College of Engineering, Lavale",4.4/5,5 Reviews,Private,B.E /B.Tech (4 Courses) Fees :  ₹1.88 Lakhs  - ₹3.88 Lakhs
"MIT Aurangabad - Maharashtra Institute of Technology, Aurangabad",4.1/5,12 Reviews,Private,B.E /B.Tech (11 Courses)
"DKTE Ichalkaranji - DKTE Society's Textile and Engineering Institute, Ichalkaranji",4.1/5,2 Reviews,Private,B.E /B.Tech (13 Courses) Fees :  ₹3.82 Lakhs  - ₹4.47 Lakhs
